claim_id,domain,defect_or_process,claim,evidence_nature,evidence_grade,target_match,material_system,geometry_and_scale,drying_boundary,source_key,doi_or_url,source_location,support_status,competing_explanation,transfer_limit,notes
"E015","battery drying model","multi-zone path","Multi-zone histories can change peak solvent flux and energy even at comparable total removal; an average temperature is insufficient.","continuum heat-mass model","B/T","medium","Li-ion electrode solvent drying","modeled electrode","multi-zone convective drying","BAT12","https://doi.org/10.1016/j.jpowsour.2018.01.007","multi-zone simulations","supported theoretically","Mechanical path effects are not included","Use for thermal load histories only; fracture path dependence still needs experiment.","Supports P0/P1/P2 schedule comparison at matched endpoint."
"E016","colloidal film","component transport","Evaporation convection Brownian diffusion and sedimentation formed distinct particulate-coating regimes describable with Péclet and sedimentation scales in a monodisperse silica system.","cryo-SEM + one-dimensional theory","D2","medium","monodisperse silica/water","laboratory particulate coatings","controlled evaporation","COL01","https://doi.org/10.1002/aic.12190","local PDF pp.2–3 equations pp.8–10 validation and p.6 skin limitation","supported in source system","Aggregation yield stress and non-Brownian transport dominate commercial slurry","LFP CB and PVDF need separate effective diffusivities fixation and sedimentation terms. The source skin is a concentration-defined surface layer with no evaporation permeability or rheology feedback and is not project Skin+.","Supports species-specific rather than single slurry Pe."
"E017","colloidal film","D1 crack nucleation","Critical cracking pressure/stress is strongly influenced by flaws; a smooth elastic energy model can provide only a lower-bound style prediction.","direct pressure/stress measurement","D2","medium","colloid dispersion film","thin confined film","high-pressure consolidation analogue","COL04","https://doi.org/10.1103/PhysRevLett.100.198302","critical-stress experiments","supported","Plasticity heterogeneity and interface slip shift the threshold","Different loading protocol from evaporation; transfer defect sensitivity not numerical stress.","Motivates probabilistic defect population in CCT calibration."
"E018","colloidal film","D1 critical thickness","For an adhered channel crack the transferable energy structure is G proportional to sigma squared times H divided by plane-strain modulus; propagation requires G at least Gamma_c.","Griffith-based theory + latex comparison","D2/T","medium-high","latex film","thin supported film","drying-induced constrained shrinkage","COL05","https://doi.org/10.1021/la048298k","local PDF p.6 Eq.2; special constitutive results pp.9–11","supported as framework; absolute stress mismatch","Plastic dissipation interface slip and gradients alter the geometry factor and resistance","Only the general energy structure transfers. H^-2/3 and coefficients are source-system-specific and measured critical stress was about three times the model value.","Basis of time-dependent Hc(t) rather than a fixed material constant."
"E019","colloidal film","fracture dissipation","Drying-colloid crack-opening fields contain substantial irreversible/plastic deformation and cannot be represented by purely elastic fracture alone.","crack-field measurement + theory","D2","medium","colloidal film","laboratory thin film","drying fracture","COL07","https://doi.org/10.1103/PhysRevLett.110.024301","crack-opening and plasticity analysis","supported","Viscoelastic rather than plastic dissipation may dominate PVDF-rich networks","Requires state-dependent apparent fracture energy or explicit dissipation in LFP.","Warns against using final dry elastic modulus alone."
"E020","colloidal film","particle-size effect","Fracture toughness and critical energy release rate can vary strongly with particle size and evaporation rate in a given colloid.","direct morphology + model inversion","D2","low-medium","model colloid","directional laboratory drying","controlled evaporation","COL08","https://doi.org/10.1103/PhysRevE.95.022610","reported size/rate scaling","supported in source system","Pore throat modulus defect size and packing all co-vary","Reported exponents are not universal and must not be fitted directly to LFP D50.","Supports multichannel particle-size modeling."
"E021","colloidal film","particle-size counterpoint","Cracking stress decreased with film thickness but was insensitive to particle size over the tested latex range.","direct stress measurement","D2","low-medium","latex film","laboratory thin films","controlled drying","COL09","https://doi.org/10.1016/j.jcis.2010.08.074","reported thickness/size comparison","counterevidence to universal size rule","Size range and material toughness may hide particle effects","Reinforces that D50 alone cannot set the LFP threshold.","Interpret together with E020 rather than choose one universal sign."
"E022","ceramic tape casting","drying stress and relaxation","Plasticization changed peak drying stress by roughly an order of magnitude in the studied nonaqueous ceramic tape even with related particulate formulation.","cantilever stress + mass-loss experiment","D1","medium","alumina/PVB nonaqueous tape cast","150–400 um blade gaps","controlled drying","CER01","https://doi.org/10.1111/j.1151-2916.1996.tb08099.x","stress-history comparison","supported in source system","Differences in packing or adhesion may contribute","Transfers the importance of wet-state relaxation not the PVB values.","Supports measuring tau_r near locking."
"E023","ceramic tape casting","particle/polymer stress roles","Particles dominated early stress rise while latex properties strongly affected residual stress; smaller alumina increased peak stress in the studied system.","rheology + freeze-dried SEM + stress measurement","D1","medium","aqueous alumina/latex","tape-cast layer","controlled humidity drying","CER02","https://doi.org/10.1111/j.1151-2916.2002.tb00473.x","component and size comparisons","supported in source system","PVDF dissolves/precipitates rather than coalesces as latex","Role separation is a testable LFP hypothesis not a direct conclusion.","Motivates independent capillary-loading and relaxation/resistance submodels."
"E024","ceramic particulate coating","D1 CCT measurement","Simultaneous mass saturation stress and imaging revealed a stress peak near crack onset and two-stage curvature/stress release; a ZnO system showed a finite CCT interval.","simultaneous cantilever + imaging + drying measurement","D1","medium","ZnO particulate coating","side-walled cantilever; tens of um CCT","approximately one-dimensional top drying","CER06","https://doi.org/10.1111/jace.19644","local PDF pp.5–6 and 9–11","supported in source system","Stress relaxation without cracking can also lower curvature","Numerical stress and CCT are ZnO-specific. Cantilever inversion assumes a continuous coating; after cracking the rapid drop is an event/comparison signal not an intact-film absolute stress.","Methodological benchmark for synchronized stress imaging and drying experiments."
"E025","polymer coating","skin formation","A polymer-rich surface can cross a gel threshold and become a low-permeability poroelastic skin while the underlying solution remains liquid.","moving-boundary poroelastic theory","D2/T","low-medium","polymer solution coating","one-dimensional film","surface evaporation","POL02","https://doi.org/10.1039/D1SM01343B","main equations 8–19 and Appendix C","supported theoretically","Particle jamming or gradual permeability gradient can mimic a skin","Use only after a distinct surface permeability/modulus transition is observed in LFP.","Defines an operational skin rather than inferring it from a smooth surface."
"E026","polymer coating","D3 bubble under skin","Bubbles appeared after skin formation; skin thickness pressure and bubble trajectories were measured while mixed solvent-vapor/dissolved-air composition and diffusion control were inferred rather than compositionally measured.","direct synchronized experiment + thermodynamic/diffusion interpretation","D2","low-medium","polymer solution","laboratory film","surface drying with skin formation","POL03","https://doi.org/10.1140/epje/i2012-12057-2","local PDF pp.3–7; R proportional to sqrt(t-tau) in Eq.8","supported for sequence; gas composition remains inferred","Pre-existing trapped air or cavitation can yield similar voids","Pure polymer has no particulate pore throat; transfer as competing hypothesis only. Do not repeat the conclusion-section radius-squared wording that conflicts with Eq.8.","Strong basis for separating measured bubble trajectory from inferred chemistry and mechanical internal crack."
"E027","polymer coating","dissolved-gas bubble","A multicomponent diffusion model including cross terms predicts gas supersaturation and is consistent with degassing reducing bubbles.","multicomponent model + experimental relation","D2","low-medium","PVAc/toluene/nitrogen","polymer film","drying","POL04","https://doi.org/10.1002/app.28998","model and degassing comparison","conditional support","Entrained macrobubbles can also respond to degassing","NMP/PVDF/LFP diffusion and solubility data are unknown.","Makes degassing a diagnostic intervention not proof of one bubble pathway."
"E028","polymer coating","solvent blister","Internal solvent boiling/blistering is governed by local vapor/total pressure and composition rather than oven temperature versus pure-solvent boiling point alone.","transport model + constrained optimization","D2/T","low-medium","polymer solution coating","one-dimensional film","single-zone oven","POL05","https://doi.org/10.1080/07373939908917616","boiling constraint in optimization","supported theoretically","Dissolved gas cavitation or trapped solvent can blister below bulk boiling","PVDF/NMP activity capillarity and shell resistance must be measured.","Prevents the incorrect rule that sub-boiling oven temperature excludes vapor-related voids."
"E029","polymer coating","D5 surface corrugation","Evaporation-induced surface-tension gradients can drive Marangoni redistribution and later corrugation while the coating remains mobile.","theory + experimental context","D2","low","polymer solution","laboratory film","evaporative drying","POL07","https://doi.org/10.1016/j.ijheatmasstransfer.2015.06.015","model results","supported in source class","Skin buckling bubble inflation or collapse can produce similar roughness","Requires timing before mechanical lock and relevant NMP/slurry surface-tension gradients.","Use timing and orientation/wavelength to distinguish from post-skin wrinkling."
"E030","gel","D3 cavitation-fracture coupling","Cavitation and fracture can occur sequentially or in a coupled manner in a constrained drying hydrogel; cavity deformation can concentrate stress.","direct experiment","D3","low-medium","constrained hydrogel","laboratory gel geometry","drying under constraint","GEL06","https://doi.org/10.1039/C4SM02652G","cavitation and crack observations","supported in source system","Gas exsolution rather than negative-pressure cavitation","A mature continuous gel differs from a forming particulate electrode skeleton.","Supports retaining cavity and crack as coupled but distinct event labels."
"E031","gel","D3 cavitation threshold","Bubble nucleation and stable growth are separate conditions controlled by liquid tension pore-entry pressure cavity/throat geometry and skeleton elasticity.","thermodynamic/mechanical theory","D3/T","low-medium","porous gel","idealized cavities and throats","drying-induced negative pressure","GEL04","https://doi.org/10.1016/0022-3093(95)00222-7","cavitation model","supported theoretically","Heterogeneous gas nuclei lower thresholds dramatically","Do not use homogeneous cavitation values to rule LFP cavitation in or out.","Basis for a feasibility inequality rather than a fixed universal threshold."
"E032","poroelastic theory","hydraulic equilibration","For a mature poroelastic layer the hydraulic pressure-equilibration time has an H-squared diffusion scaling.","foundational theory and dimensional scaling","T","medium as structure","linear saturated poroelastic continuum","continuum layer","pressure diffusion","GEL08","https://doi.org/10.1063/1.1712886","governing consolidation theory","supported as asymptotic structure","Strong state dependence and unsaturation change effective diffusivity","LFP skeleton forms during drying and requires k K and storage as state functions.","Explains why thickness can amplify pressure disequilibrium faster than linearly."
"E033","geotechnical","desaturation and cracking","In the tested fine-grained soils cracks commonly appeared near the onset of desaturation under constrained shrinkage.","suction water-content shrinkage experiment","D4","low-medium","fine-grained soil/water","laboratory soil layers","natural/controlled evaporation","GEO02","https://doi.org/10.1139/T09-054","experimental event sequence","supported in source system","Different soils and constraints shift the event","Transfer only the need to compare cracking with air-entry/desaturation timing.","Not a universal LFP air-entry criterion."
"E034","geotechnical","thickness-interface coupling","Layer thickness and basal friction jointly altered desiccation-crack dimensions evolution and buried-crack initiation in clay layers.","controlled soil-layer experiments","D4","medium conceptually","clayey soil/water","laboratory layers with varied base","surface evaporation","GEO03;GEO04","https://doi.org/10.1016/j.enggeo.2019.105220; https://doi.org/10.1029/2019WR026948","GEO03 local PDF pp.12–16 and 20–24 plus GEO04 experiments","supported in source systems","Drying gradients and defect distributions also co-vary","Aluminium adhesion/slip must replace soil basal-friction parameters. GEO03 crack-area metric can include edge detachment so internal cracks edge shrinkage and delamination must be separated.","Supports joint calibration of interface constraint and coating thickness."
"E035","geotechnical","cohesive desiccation fracture","Unsaturated transport can be coupled to moisture-dependent tensile/cohesive fracture to model crack initiation and propagation.","coupled numerical model","D4/T","medium as architecture","clayey soil/water","continuum soil layer","evaporation and unsaturated flow","GEO06","https://doi.org/10.1016/j.compgeo.2016.12.010","model formulation","supported as model architecture","Phase-field discrete or strength-only models can fit some patterns","All hydraulic mechanical and cohesive laws must be reidentified for LFP/NMP.","Potential level-2 model after level-1 parameters are identifiable."
"E036","geotechnical","heterogeneity and path modeling","A phase-field model can qualitatively reproduce heterogeneity-influenced crack paths while local strain agreement with experiment remains imperfect.","DIC experiment + phase-field simulation","D4","low-medium","heterogeneous clayey soil","laboratory soil layer","desiccation","GEO07","https://doi.org/10.1016/j.engfracmech.2021.108065","experiment/model comparison","conditional support","Unresolved heterogeneity or constitutive error drives mismatch","Do not introduce phase field before the target question requires crack topology.","Supports a data-triggered upgrade criterion."
"E037","geotechnical","unsaturated-flow closure","A retention curve and saturation-dependent relative permeability are required to close unsaturated liquid transport.","theory + soil data fitting","D4/T","medium as structure","unsaturated soils","continuum porous medium","air-water drainage","GEO08","https://doi.org/10.2136/sssaj1980.03615995004400050002x","closed-form relations","supported for closure need","Network/percolation or pore-scale closures may fit electrodes better","Never transfer van Genuchten soil parameters to LFP/NMP; fit a suitable relation from electrode data.","Use as a model-family precedent only."
"E038","cross-domain synthesis","solid-content effect","The sign of solids-content influence on cracking may be non-monotonic because solvent inventory/shrinkage improve while locking timing rheology degassing and pore-throat structure can worsen.","mechanistic synthesis of independent evidence","A–D2","high relevance; indirect evidence","target LFP formulation not directly isolated","commercial coating scale intended","multi-zone forced convection intended","BAT01;COL01;CER01;CER02","https://doi.org/10.1016/j.jpowsour.2016.04.018; https://doi.org/10.1002/aic.12190; https://doi.org/10.1111/j.1151-2916.1996.tb08099.x; https://doi.org/10.1111/j.1151-2916.2002.tb00473.x","cross-source synthesis","unresolved for target","A monotonic effect may hold over the plant's narrow formulation interval","Requires two complementary experiments: fixed dry loading and fixed wet thickness.","This is an explicit project inference not a reported result from one paper."
"E039","cross-domain synthesis","thickness threshold","Thickness raises risk through at least component Pe proportional to H hydraulic equilibration time proportional to H squared and channel-crack energy release proportional to H; defect opportunity may also grow with sampled volume.","scale synthesis","B/C/D2/T","high relevance; mixed directness","multiple battery colloid and poroelastic systems","thin-to-thick supported layers","varied drying boundaries","BAT04;COL05;GEL08","https://doi.org/10.1002/ente.201900722; https://doi.org/10.1021/la048298k; https://doi.org/10.1063/1.1712886","cross-source synthesis","supported as framework","Thickness also changes actual Ts J porosity and interface stress","Scaling exponents rely on simplified regimes and state-dependent parameters.","Explains narrowing process windows without asserting a universal critical loading."
"E040","cross-domain synthesis","D2/D3 internal void","A final two-dimensional mid-layer void cannot uniquely distinguish entrained gas dissolved-gas/solvent bubble negative-pressure cavitation or a true internal cohesive crack.","cross-domain morphology/causality synthesis","B/D2/D3","high relevance; indirect target proof","battery polymer coating and gel systems","varied small-scale geometries","varied drying boundaries","BAT05;POL03;GEL04;GEL06","https://doi.org/10.1039/D5EB00201J; https://doi.org/10.1140/epje/i2012-12057-2; https://doi.org/10.1016/0022-3093(95)00222-7; https://doi.org/10.1039/C4SM02652G","cross-source synthesis","strongly supported as non-identifiability claim","Sectioning artifacts and normal pore clusters add further ambiguity","Requires time-resolved 3D connectivity crack-tip and degassing evidence in LFP.","Quality grouping is acceptable but mechanism labels must remain separate."
"E041","cross-domain synthesis","20 cm width","Coating width enters local crack risk mainly through cross-web variation in wet thickness Ts J gas NMP load and mechanical constraint rather than as an intrinsic material parameter.","equipment evidence + model inference","C/I/D2","high relevance; indirect target proof","battery drying and general convection dryers","batch to 120–150 mm pilot; general nozzle fields","forced convection","BAT15;BAT16;BAT18","https://doi.org/10.1002/ente.202000889; https://doi.org/10.1002/batt.202500845; https://doi.org/10.1080/07373937.2023.2260867","cross-source synthesis","supported methodologically","Large-area flaw statistics can create an additional width effect","Needs cross-web co-location measurements on the 20 cm LFP line.","Justifies parameterized 1D columns before full y-z modeling."
"E042","research-gap audit","target-system coverage","No source in this review simultaneously provides commercial-like LFP/PVDF/NMP a roughly 20 cm wide thick coating multi-zone forced convection and in-situ internal-void/crack evolution.","structured search gap statement","A–I","direct target gap","target combination","commercial scale","multi-zone oven","BAT05;BAT10;BAT11;BAT13;BAT16","https://doi.org/10.1039/D5EB00201J; https://doi.org/10.3390/pr11113236; https://doi.org/10.1016/j.jclepro.2026.148460; https://doi.org/10.1016/j.jpowsour.2021.230689; https://doi.org/10.1002/batt.202500845","coverage comparison","not found in scoped search","Proprietary industrial studies or papers outside search scope may exist","A search-gap statement is not proof of global nonexistence.","Therefore no literature-derived numerical process window is claimed."
"E043","battery electrode drying","post-coating flow","The coating profile and internal features can continue to move horizontally on long time scales after casting so the coating-exit state can evolve before or during shrinkage.","in-situ hard X-ray profile radiography","B/D2","medium","NMC622/AB/PVDF/NMP plus model composite slurries","lab doctor-blade coating","IR heating","BAT19","https://doi.org/10.1021/acsaem.4c00402","time-resolved radiography sequences and discussion","supported qualitatively","Platform tilt or thickness nonuniformity can mimic some apparent motion","Beam-direction integration small samples and strong NMC attenuation limit quantitative transfer to 20 cm LFP.","Use E0 as a dynamic stage rather than a frozen initial condition."
"E044","battery electrode drying","dynamic component gradients","Coating shear history changes transient carbon redistribution and late drying can produce a carbon-rich top region.","depth-sensitive in-situ resistivity + layered model + endpoint EDS","C/D2","low-medium","battery composite coating; exact target chemistry unconfirmed","100 micrometre wet lab film","very slow room-temperature drying","BAT20","https://doi.org/10.1021/acs.langmuir.5c04644","dual-depth resistance histories and final elemental maps","conditional support","Contact-network changes can alter resistance without an identical concentration change","The layered concentration profile is model-dependent and drying is far slower than a commercial NMP oven.","Treat a transient depleted middle layer as a hypothesis not direct imaging."
"E045","battery electrode drying","drying stress","A continuum model predicts slow early stress growth faster growth after solidification and a larger surface stress than collector-interface stress in NMC/PVDF/NMP coatings.","continuum model calibrated with ex-situ dry mechanics and external graphite stress data","D2/T","medium as precedent","NMC532/PVDF/CB/NMP","approximately 80 micrometre dry lab film","prescribed drying temperature","BAT21","https://doi.org/10.3390/en14061683","Figures 5–6 and model formulation","supported as prediction only","Different wet constitutive laws or capillary topology can change stress timing and location","No direct wet-state stress measurement and no LFP/internal-void validation.","Do not cite predicted stress ratios as measured facts."
"E046","battery electrode drying","R2R drying-period marker","Pilot R2R cathode film temperature shows an evaporation-cooled plateau followed by a rise near drying completion and induction shifts the reported transition earlier.","pilot R2R film-temperature measurement + process calculation","B/I","medium-high","NMC622/PVDF/NMP","pilot roll-to-roll web","convection plus induction","BAT22","https://doi.org/10.1002/ente.202402182","film-temperature and drying-rate analysis","supported for this line","Temperature rise can reflect several coupled boundary changes and does not uniquely mark internal liquid disconnection","NMC and induction-specific coefficients cannot be copied to 20 cm LFP convection drying.","Use as an E4/E6 proxy only after target calibration."
"E047","battery electrode drying","wide-web local heating risk","Inductive energy can overheat uncoated coating defects or edges even when mean coated-film drying is acceptable.","pilot equipment observation","I/D2","medium","NMC cathode web/current collector","pilot R2R with artificial uncoated areas","induction-assisted convection","BAT22","https://doi.org/10.1002/ente.202402182","uncoated-region and edge observations","supported for induction","Pure convection may have a different local-risk mechanism","Direct relevance is to induction but the result demonstrates why web-average temperature is insufficient.","Motivates y-resolved edge and defect monitoring."
"E048","battery electrode drying","mass and film-temperature kinetics","Real-time gravimetry and film temperature quantify NMP removal for 400 and 750 micrometre wet-gap NMC/PVDF/NMP coatings and show diminishing drying-rate gains at higher set temperature.","lab gravimetry + thermocouple + heat/mass-transfer analysis","B","medium","NMC811/CB/PVDF/NMP","7.62 by 12.70 cm doctor-blade films; 80 or 150 micrometre dry","forced air plus heated bed at 60 90 and 125 C","BAT23","https://doi.org/10.1002/batt.202400113","mass and temperature results and methods","supported for measured configuration","External mass transfer or NMP-vapor accumulation may cause an apparent rate plateau","Not LFP/R2R and no direct internal saturation stress or defect timing.","Useful thermal-boundary calibration data but not an E1 mechanical-lock marker or fracture threshold."
"E049","battery electrode drying","operando endpoint sensing","Pulse-echo ultrasonic features correlate with drying kinetics and can support feedback endpoint control associated with less final warpage cracking or delamination.","operando ultrasound + closed-loop experiment + endpoint imaging","C","medium; target match unconfirmed","aqueous and nonaqueous battery slurries","geometry not confirmed in inspected accessible text","feedback-controlled drying","BAT24","https://doi.org/10.1016/j.mtener.2026.102271","article highlights abstract and reported validation","supported as sensing and control demonstration","Thickness density modulus saturation and porosity can generate similar acoustic changes","Exact LFP/PVDF/NMP formulation wide-web scale and unique physical-state calibration remain unverified.","Do not equate one acoustic inflection with a uniquely identified lock or pore-connectivity event."
"E050","baking analogy","moving drying zone","A validated bread model represented baking as an inward-moving evaporation transition separating a hotter drier crust region from a wetter crumb region.","heat and mass model + experimental validation","D2/T","low direct target match; high pedagogical value","water-based bread dough","centimetre-scale cylindrical bread","convective baking","BAK02","https://doi.org/10.1016/0260-8774(94)90057-4","model and validation results","supported in bread as a reduced-order model","A finite-width distributed evaporation-condensation region can produce similar macroscopic profiles","Does not prove a sharp NMP front in a micrometre-scale foil-supported electrode.","Use to design front-vs-distributed-model tests not to assign parameters."
"E051","baking analogy","internal redistribution","Bread-core water content increased transiently during baking while crust and crumb temperatures and moisture evolved differently.","local moisture and temperature measurements","D2","low target match; direct food evidence","water-based bread","centimetre-scale bread","three convection-oven temperatures","BAK05","https://doi.org/10.1177/1082013218814144","local profiles and abstract-reported maximum","supported directly in bread","Sampling and local phase changes can complicate exact spatial interpretation","Significant inward NMP recondensation in electrodes is unproven.","Warns against assuming all internal volatile transport is monotonic and outward."
